ID	Reference	Title	Year	Authors	doi	Experimental_Setup	Preprocessing_reported	Inclusion_1	Reason_exclusion_1	Open_data_1	Screening_1	Notes_1	Inclusion_2	Reason_exclusion_2	Open_data_2	Screening_2	Notes_2	Inclusion_final	Reason_final
11	"Posner, M. I., & Marin, O. S. (Eds.). (2016). Attention and performance XI. 
 Routledge."		2016	Posner, M. I., & Marin, O. S.	https://www.routledge.com/Attention-and-Performance-XI/Posner-Marin/p/book/9781138641976			0	book		EP		0	book		DFD_KM		0	Book chapter without empirical data
12	"Chartrand, T. L., & Van Baaren, R. (2009). Human mimicry. Advances in 
 experimental social psychology, 41, 219-274."		2009					0	book chapter about mimicry		JW		0	"book chapter about
mimicry"		HL		0	No Simon task
13	"McCann, R. S., & Johnston, J. C. (1992). Locus of the single-channel 
 bottleneck in dual-task interference. Journal of Experimental Psychology: Human Perception and Performance, 18(2), 471."		1992					0	"visual Simon task, but additional dual set-up
manipulating further dimensions"		HL		0	but no standard deviations to work with		EB		0	No Simon task
14	"Proctor, R. W., & Vu, K. P. L. (2006). Stimulus-response compatibility 
 principles: Data, theory, and application. CRC press."		2006					0	This is a book and I do not have access to this book		ME		0	book, no access		HL		0	Book chapter without empirical data
15	"Geffen, G., Bradshaw, J. L., & Wallace, G. (1971). Interhemispheric effects 
 on reaction time to verbal and nonverbal visual stimuli. Journal of experimental psychology, 87(3), 415."							0	Nonverbal stimuli (faces) were processed faster when presented in the left visual field. Conversely, stimuli which were verbally encoded and required an identificatory response were processed more quickly when presented in the right visual field.		HL		0	no means to work with		EB		0	No Simon task
16	"De Houwer, J. (2001). A structural and process analysis of the Implicit 
 Association Test. Journal of Experimental Social Psychology, 37(6), 443-451."		2001					0	no visual Simon task		HL		0	no Simon task		EB		0	No Simon task
17	"De Houwer, J. (2007). A conceptual and theoretical analysis of evaluative 
 conditioning. The Spanish journal of psychology, 10(2), 230-241."		2007					0	It is a review		ME	This is a review	0	"no empirical article on the
Simon effect"		HL		0	Review
18	"Peterson, B. S., Kane, M. J., Alexander, G. M., Lacadie, C., Skudlarski, P., 
 Leung, H. C., ... & Gore, J. C. (2002). An event-related functional MRI study comparing interference effects in the Simon and Stroop tasks. Cognitive Brain Research, 13(3), 427-440."		2002					1	also behavioral RT data		HL		1			EB		1	
19	"Stürmer, B., Aschersleben, G., & Prinz, W. (2000). Correspondence effects 
 with manual gestures and postures: a study of imitation. Journal of Experimental Psychology: Human Perception and Performance, 26(6), 1746."		2000					0	"no visual Simon task assessing spatial
congruency"		HL		0	but may not be able to get SD		EB		0	No stimulus response compatibility
20	"De Houwer, J. (2003). A structural analysis of indirect measures of attitudes. 
 The psychology of evaluation: Affective processes in cognition and emotion, 1, 219-244."		2003					0	affective Simon task, no empirical article		HL		0	no access to book chapter		EB		0	Book chapter without empirical data
21	"De Houwer, J., Crombez, G., Baeyens, F., & Hermans, D. (2001). On the 
 generality of the affective Simon effect. Cognition & Emotion, 15(2), 189-206."		2001					0	affective Simon effect, no visual Simon task		HL		0			EB		0	Affective Simon task
22	"Hedge, A., & Marsh, N. W. A. (1975). The effect of irrelevant spatial 
 correspondences on two-choice response-time. Acta psychologica, 39(6), 427-439."		1975					1	SHRH & same colour condition only		HL		1	no means to work with		EB		1	
23	"Mordkoff, J. T., & Yantis, S. (1991). An interactive race model of divided 
 attention. Journal of Experimental Psychology: Human Perception and Performance, 17(2), 520."		1991					0	stimuli presented above and below fixation		HL		0	no simon task		EB		0	Vertical task
24	"Heilman, K. M., Bowers, D., Valenstein, E., & Watson, R. T. (1987). Hemispace
 and hemispatial neglect. In Advances in psychology (Vol. 45, pp. 115-150). North-Holland."		1987					0	patient study		HL		0	review paper		EB		0	No healthy young adults
25	"Simon, J. R., & Berbaum, K. (1990). Effect of conflicting cues on information 
 processing: the ‘Stroop effect’vs. the ‘Simon effect’. Acta psychologica, 73(2), 159-170."		1990					1	"congruent (Stroop) trials: effect of spatial
correspondence"		HL		1	includes simon but no SDs		EB		1	
26	"De Houwer, J., & Eelen, P. (1998). An affective variant of the Simon paradigm. 
 Cognition & Emotion, 12(1), 45-62."		1998					0	affective variant of the Simon paradigm without spatial location variable		HL		0			EB		0	Affective Simon task
27	"Bashore, T. R. (1981). Vocal and manual reaction time estimates of 
 interhemispheric transmission time. Psychological Bulletin, 89(2), 352."		1981					0	review, no empirical article		HL		0	meta-analysis paper		EB		0	Review
28	"Burle, B., Possamaï, C. A., Vidal, F., Bonnet, M., & Hasbroucq, T. (2002). 
 Executive control in the Simon effect: an electromyographic and distributional analysis. Psychological research, 66(4), 324-336."		2002					1	but no SDs provided		HL		1	but there may be no SDs for coding		EB		1	
29	"Musch, J., & Klauer, K. C. (Eds.). (2003). The psychology of evaluation: Affective 
 processes in cognition and emotion. Psychology Press."		2003					0	affective Simon task, no empirical article		HL		0	this is a book		EB		0	Book chapter without empirical data
30	"Lien, M. C., & Proctor, R. W. (2002). Stimulus-response compatibility and 
 psychological refractory period effects: Implications for response selection. Psychonomic bulletin & review, 9(2), 212-238."		2002					0	review article		HL		0	review article		EB		0	Review
31	"Hommel, B. (1993). The role of attention for the Simon effect. Psychological 
 research, 55(3), 208-222."		1993					0	"visual Simon task, but additional manipulation
of attentional focus"		HL		0	but no standard deviations to work with		EB		0	No Simon task
32	"Voss, A., & Klauer, K. C. (2007). Cognitive processes in the extrinsic affective
 Simon task: A task-set switching account of East effects. Experimental Psychology, 54(1), 71-82."		2007					0	Focuses on emotional Simon effect		ME	This is emotional Simon task	0	affective Simon task		HL		0	Affective Simon task
33	"Vallesi, A., Binns, M. A., & Shallice, T. (2008). An effect of spatial–temporal
 association of response codes: Understanding the cognitive representations of time. Cognition, 107(2), 501-527."		2008	Vallesi, A., Binns, M. A., & Shallice, T.	https://doi.org/10.1016/j.cognition.2007.10.011	"Experiment 1: Before beginning the experiment, each participant was required to fill in the EHI. A trial started with the central fixation cross, lasting for a foreperiod (FP) of 1 or 3 s. The two values of the FP were presented randomly on an equal number of trials. After the FP elapsed, the arrow requiring a response was presented. The task consisted of pressing ‘Z’ for a short cross duration (i.e., 1 s) and ‘/’ for a long cross duration (i.e., 3 s). The stimulus duration/response key assignment was inverted after 160 trials. The order of presentation of the two possible S–R mappings was counterbalanced across participants. After a response was detected, a 1 s blank separated one trial from the other. A familiarization block, consisting of 20 trials, preceded each experimental block with opposite S–R mappings (160 trials each). During this phase, a visual feedback was displayed for 1 s soon after the response. The feedback provided during the initial practice phases consisted of the green string (in Italian): “good! Go on with the next trial!”, for correct responses, the red string: “wrong response, be careful!” plus a sound (a 1500 Hz pure tone lasting 50 ms) for incorrect responses, and the red string: “too slow, try to be faster!” (plus the 1500 Hz sound) for slow responses (>1500 ms) or null responses. The familiarization phase was repeated until participants made two errors or less. All participants reached this criterion after 1–2 familiarization phases. Experiment 2: A trial started with the presentation of the fixation cross, which marked the beginning of the FP (i.e., 1 vs. 3 s, 50% each, random presentation). When the FP ended, an arrow replaced the fixation. Participants were required to respond as fast as possible to the arrow by pressing the spacebar, with their right index finger in one block, and with their left index finger in the other block. The order of presentation of the 2 blocks was counterbalanced across participants. The arrow was removed by the response key-press. After a blank interval of 1 s, a new trial started. Two blocks of 80 trials (40 per each FP) were presented during each session to each participant. Ten practice trials preceded each experimental block. Experiment 3: Two blocks of 160 trials each were administered. In one block, the ‘Z’ key had to be pressed by the right hand after a short cross duration, and the ‘/’ key had to be pressed by the left hand after a long cross duration. The opposite S–R mapping was applied in the other block. The order of presentation of the 2 blocks was counterbalanced across participants. Half of each block was performed with the right hand standing on the top of the left one and the other half was performed with the left hand on the top of the right one. Half of the participants started each block with one position and then switched position after 80 trials. The opposite order was used for the other half of the participants. A practice phase with 20 trials (10 per each FP) was given at the beginning of each block. Similar feedback to that employed in Experiment 1 was displayed at the end of each trial during the practice phase. Experiment 4: The procedure and task were similar to those adopted in Experiment 1. The only difference was that the response should be given by pressing a key (‘B’) with the index finger of the dominant hand and another key (‘N’) with the middle finger of the same hand. The ‘B’ and ‘N’ keys were labeled and referred to in the instructions with a red and green color, respectively, in order to avoid linguistic biases. Indeed, a couple of pilot participants reported that it was difficult to associate the ‘B’ label to a long duration because ‘B’ is the initial letter of the word ‘brief’ (in Italian: ‘breve’). The red and green keys were inverted for half of the participants (i.e., ‘N’ = red; ‘B’ = green). In one block, participants had to press the key labeled with one color for a short cross duration, and the key labeled with another color for a long cross duration. In another block, the key-duration associations were inverted. The order in which the 2 key-duration mappings were administered was counterbalanced across participants. A familiarization phase (20 trials) with a feedback procedure similar to that used in Experiment 1 was adopted also here at the beginning of each block. After each familiarization phase, a test phase followed with 80 trials with a cross duration (i.e., FP) randomly varying between 1 and 3 s (50% each). Upon completion of the study, participants received a post-experimental questionnaire. In a first question, participants were asked if they had counted or used other strategies to perform the task. In a second multiple choice question, they were asked to choose a directionality for their representation of elapsing time. The available response choices were: left–right, right–left, top–down, bottom–up, clockwise, counterclockwise. The order with which these alternatives appeared varied randomly across participants. The option ‘other’ was also provided. Experiment 5: The procedure and task were basically similar to those used in Experiment 1, with the following exceptions. The six values of the FP (i.e., cross duration) were presented randomly on an equal number of trials (30 for each). The task consisted of pressing ‘Z’ for a short cross duration (i.e., 0.5, 1, and 1.5 s), and ‘/’ for a long cross duration (i.e., 2.5, 3, and 3.5 s). The stimulus duration/response key assignment was inverted after 180 trials. The order of presentation of the two possible S–R mappings was counterbalanced across participants. A familiarization block, consisting of 24 trials (4 per each cross duration), preceded each experimental block with opposite S–R mappings (180 trials each). During this practice block, similar feedback to that used in the previous experiments was provided at the end of each trial. The familiarization block was repeated until a criterion of three errors or less was reached. No more than three familiarization cycles were necessary for any participant. As for Experiment 4, after the completion of the test, participants were asked whether they had counted or used other strategies in order to perform the task."	no	1			JW		0	"no visual Simon task but
temporal judgment"		HL		0	No Simon task
34	"Van Veen, V., Krug, M. K., & Carter, C. S. (2008). The neural and computational
 basis of controlled speed-accuracy tradeoff during task performance. Journal of cognitive neuroscience, 20(11), 1952-1965."		2008	Vincent van Veen, Marie K. Krug , and Cameron S. Carter	https://doi.org/10.1162/jocn.2008.20146	"Participants performed three runs of trials during scanning. The gray outline of two squares was visible throughout each run, along with a fixation point. Each run was divided into several ‘‘miniblocks.’’ Each miniblock started with an instruction cue (a large uppercase ‘‘A’’ or a large uppercase ‘‘S’’; prior to the experiment, participants were instructed that when they saw an ‘‘A,’’ they were to focus on accuracy during the upcoming trials, and when they saw an ‘‘S,’’ they were to focus on speed during the upcoming trials). This cue lasted 1000 msec, followed by a 5000-msec fixation screen. After cue offset, the center-screen fixation point was changed to a small uppercase ‘‘A’’ or a small uppercase ‘‘S.’’ For each SAT condition (speed and accuracy emphasis), there were seven miniblocks of 4 trials, four miniblocks of 8 trials, and one miniblock of 20 trials within each run. Within each run, these miniblocks were presented in random order. Each run started and ended with a 12-sec fixation screen containing the two squares and the fixation point. During each Simon trial, one of the squares lit up either green or red for 150 msec, followed by a 2850-msec intertrial interval. The exception was the last stimulus of each miniblock, which was followed by a 14,850-msec fixation screen, after which the next cue was presented (thus, the stimulus onset asynchrony [SOA] from the last stimulus of a miniblock to the next cue was 15,000 msec). Prior to the experiment, participants were instructed to respond to the color of the square (red or green) with a left or right index finger button press (counterbalanced across participants). Congruent trials (2/3 of all trials) were trials during which the stimulus location and response hand corresponded (e.g., a left stimulus mapped onto the left hand); incongruent trials (1/3 of all trials) were trials during which the stimulus was mapped onto the opposite response hand (e.g., a left stimulus mapped onto the right hand)"	no	1			JW	not sure if this shall be included as it mainly focuses on fMRI, but it includes some behavioiral data as well	1			EB		1	
35	"Hasbroucq, T., & Guiard, Y. (1991). Stimulus-response compatibility and the 
 Simon effect: Toward a conceptual clarification. Journal of Experimental Psychology: Human Perception and Performance, 17(1), 246."		1991					1	"LEDs with colour associated to response 
side, same colour condition"		HL		1	includes simon but no means and SDs		EB		1	
36	"Diamond, A. (2001). A model system for studying the role of dopamine in the 
 prefrontal cortex during early development in humans: Early and continuously treated phenylketonuria. Handbook of developmental cognitive neuroscience, 433-472."		2001					0	"additional manipulation of inhibition/
working memory load"		HL		0	no simon task		EB		0	No Simon task
37	"Basten, U., Stelzel, C., & Fiebach, C. J. (2011). Trait anxiety modulates the neural 
 efficiency of inhibitory control. Journal of cognitive neuroscience, 23(10), 3132-3145."		2011					0	focusses more on Stroop task, fMRI data and anxiety measures		JW	don't think this should be included as it focusses on Stroop task rather than Simon task, uses fMRI measures and measures anxiety	0	no mention of simon task		EB		0	No Simon task
38	"Prinz, W. (2002). Experimental approaches to imitation. The imitative mind: 
 Development, evolution, and brain bases, 143-162."		2002					0	book		HL		0	no Simon, no means		EB		0	Book chapter without empirical data
39	"Simon, J. R., Sly, P. E., & Vilapakkam, S. (1981). Effect of compatibility of SR
 mapping on reactions toward the stimulus source. Acta psychologica, 47(1), 63-81."		1981					1	compatible condition only		HL		1			EB		1	
40	"Valle-Inclán, F. (1996). The locus of interference in the Simon effect: an ERP
 study. Biological Psychology, 43(2), 147-162."		1996					1	visual Simon effect (experiment 1)		HL		1			EB		1	
41	"Simon, J. R., & Craft, J. L. (1970). Effects of an irrelevant auditory stimulus on
 visual choice reaction time. Journal of experimental psychology, 86(2), 272."		1970					0	auditory Simon task		HL		0			EB		0	Auditory Simon task
42	"Po, B. A. (2005). A representational basis for human-computer interaction
 (Doctoral dissertation, University of British Columbia)."		2005					0	Doctoral dissertation		ME		0	no simon task		LD_HP		0	No Simon task
43	"Guiard, Y. (1983). The lateral coding of rotations: A study of the Simon effect 
 with wheel-rotation responses. Journal of motor behavior, 15(4), 331-342."		1983					0	"No access, but doesn't seem to be the
classical visual Simon paradigm"		HL		0	but no means and SDs		EB		0	No Simon task
44	"Simon, J. R., Acosta, E., Mewaldt, S. P., & Speidel, C. R. (1976). The effect of an
 irrelevant directional cue on choice reaction time: Duration of the phenomenon and its relation to stages of processing. Perception & Psychophysics, 19(1), 16-22."							0	stereo viewer		HL		0	but no standard deviations to work with		EB		0	No Simon task
45	"Barber, P. (2015). Applied cognitive psychology: An information-processing 
 framework. Routledge."		2015	Barber, P.	https://www.routledge.com/Applied-Cognitive-Psychology-An-Information-Processing-Framework/Barber/p/book/9781138121164			0	book		EP		0	book		DFD_KM		0	Book chapter without empirical data
46	"Nicoletti, R., & Umiltà, C. (1984). Right-left prevalence in spatial compatibility. 
 Perception & Psychophysics, 35(4), 333-343."		1984					0	further manipulation of near-far/ above-below		HL		0			EB		0	No Simon task
47	"Ragot, R. (1984). Perceptual and motor space representation: An event?related 
 potential study. Psychophysiology, 21(2), 159-170."		1984					1			HL		1			EB		1	
48	"Roberto, N., Gian Paolo, A., Giuseppe, L., Giacomo, R., & Carlo, U. (1982). Spatial 
 compatibility effects on the same side of the body midline. Journal of Experimental Psychology: Human Perception and Performance, 8(5), 664."		1982					0	"participants respond to location of
stimulus on one side of body midline"		HL		0	but no means and SDs		EB		0	Only one hemisphere
49	"Keus, I. M., & Schwarz, W. (2005). Searching for the functional locus of the 
 SNARC effect: Evidence for a response-related origin. Memory & Cognition, 33(4), 681-695."		2005					0	Far too different from the original study		ME		0	voice Simon task		LD_HP		0	No stimulus response compatibility
50	"Hasbroucq, T., Burle, B., Vidal, F., & PossamaÏ, C. A. (2009). Stimulus?hand 
 correspondence and direct response activation: An electromyographic analysis. Psychophysiology, 46(6), 1160-1169."		2009	THIERRY HASBROUCQ, BORIS BURLE, FRANCK VIDAL, and CAMILLE-AIME POSSAMAI	10.1111/j.1469-8986.2009.00865.x	"Display and Apparatus Seated on a chair, the subject faced a black plastic board on which the stimuli were presented. A chin rest was used to maintain the subject’s eye at 1m from this screen. A yellow lightemitting diode (LED) fixed on the center of the screen served as a fixation point. The stimuli were delivered by two bicolor (red/ green) LEDs located on the left and right of the fixation point, the distance between the central LED and each lateral LED subtended 5.71 of visual angle. A video camera located directly below the central LED allowed the experimenter to control the fixation gaze. A loudspeaker located behind the screen delivered auditory feedback signals (see below). Two plastic cylinders (3 cm in diameter, 7.5 cm in height) were fixed 22 cm apart on the table and 11 cm on the left and right of the subject’s midsagittal plane and served as handgrips. The right handgrip was 9 cm closer to the screen than the left one, in order to allow a comfortable crossing of the arms. A force sensor (Interlinks Force Resistive Resistor, Interlinks Electronics, Inc., Camarillo, CA) was fixed on the top of each cylinder. The subject was to keep the distal phalanxes of his thumbs on the sensors. The response was an isometric press of 10 N on one of the two sensors according to the color of the stimulus, and was to be performed during the second following the stimulus. When one of the lateral LEDs was lit, the association was either congruent or incongruent, depending on whether the correct response was on the same side or on the opposite side as the signal. Design and Procedure A trial started with the illumination of the fixation point. One second later, a bicolor LED was lit either in red or in green for 50 ms. According to the color of this signal, the subject was instructed to press on either the left or the right force sensor, as quickly and accurately as possible. In the uncrossed arm condition, the left sensor was to be pressed with the left thumb and the right sensor with the right thumb, this assignment was reversed in the crossed arm condition. When a response was produced, an auditory feedback signal was delivered. It was a 3 ms, 1000 Hz sound (perceived as a weak click) if the response was correct, or a 200 ms, 400 Hz sound (perceived as a buzz) if the response was incorrect or too late (when the 10 N force criterion was not reached within 1 s after stimulus occurrence). The response extinguished the fixation point LED. The next trial started 4 s after the illumination of the preceding fixation point. The trials were presented in blocks of 64 in a pseudorandom order such that all stimuli were equifrequent. The experiment comprised one training session and two experimental sessions (14 blocks of trials each). Each session was performed on a different day; 48 hours at maximum separated two consecutive sessions. Following each block, the subject was given a few minutes of rest. During the training session, arm crossing was alternated every two blocks. During the experimental sessions, arm crossing was alternated after the first seven blocks. The assignment of the left and right force sensors to a color light, and the order according to which the arm crossing conditions were performed were balanced across subjects"	yes	1			JW	EMG recorded, but behavioural tasks recorded as well.	1		Yes	EB		1	
51	"Aisenberg, D., Cohen, N., Pick, H., Tressman, I., Rappaport, M., Shenberg, T., 
 & Henik, A. (2015). Social priming improves cognitive control in elderly adults—Evidence from the Simon task. PloS one, 10(1), e0117151."		2015					1	baseline values young adults		HL		1			EB		1	
52	"Wallace, R. J. (1972). Spatial SR compatibility effects involving kinesthetic cues. 
 Journal of Experimental Psychology, 93(1), 163."		1972					1	"non-kinesthetic condition & left-right
stimulus presentation & hands uncrossed"		HL		1	no means to work with		EB		1	
53	"Valle-Inclán, F., & Redondo, M. (1998). On the automaticity of ipsilateral 
 response activation in the Simon effect. Psychophysiology, 35(4), 366-37"		1998					0	stimuli presented above and below fixation		HL		0			EB		0	Vertical task
54	"Larish, D. D., & Stelmach, G. E. (1982). Preprogramming, programming, and 
 reprogramming of aimed hand movements as a function of age. Journal of Motor Behavior, 14(4), 322-340."		1982					0	"Only abstract available: no analysis of
stimulus-response spatial compatibility"		HL		0	but no means or SDs in some conditions		EB		0	No stimulus response compatibility
55	Zanto, T. P., & Gazzaley, A. (2014). Attention and ageing.		2014					0	book chapter, no empirical article		HL		0	overview paper no data		EB		0	Book chapter without empirical data
56	"Zhang, J. X., & Johnson, M. K. (2004). A memory-based, Simon-like, spatial
 congruence effect: Evidence for persisting spatial codes. The Quarterly Journal of Experimental Psychology Section A, 57(3), 419-436."		2004	Zhang, J. X., & Johnson	10.1080/02724980343000404	"A memory-based, Simon-like, spatial
congruence effect"	a bit	1		no	EP	good study, but too few participants (n = 12)	1			LD_HP		1	
57	"Ward, L. M., Mcdonald, J. J., & Lin, D. (2000). On asymmetries in cross-modal 
 spatial attention orienting. Perception & Psychophysics, 62(6), 1258-1264."		2000					0	"no congruency between response and
presentation side"		HL		0	unclear, sort of looks like simon but not		EB		0	No stimulus response compatibility
58	"Lien, M. C., & Proctor, R. W. (2000). Multiple spatial correspondence effects on 
 dual-task performance. Journal of Experimental Psychology: Human Perception and Performance, 26(4), 1260."		2000					0	dual task set-up		HL		0	unclear don't have access		EB		0	No Simon task
59	"Verbruggen, F., Liefooghe, B., Notebaert, W., & Vandierendonck, A. (2005). 
 Effects of stimulus–stimulus compatibility and stimulus–response compatibility on response inhibition. Acta psychologica, 120(3), 307-326."		2005					0	Horizontal and vertical axis		ME		0			LD_HP		0	Vertical task
60	"Bauer, D. W., & Miller, J. (1982). Stimulus-response compatibility and the motor 
 system. The Quarterly Journal of Experimental Psychology Section A, 34(3), 367-380."		1982					0	"spatial compatibility across horizontal and
vertical plane"		HL		0			EB		0	Vertical task
61	"Ragot, R., & Renault, B. (1981). P300, as a function of S—R compatibility and 
 motor programming. Biological Psychology, 13, 289-294."		1981					1	same sample as Ragot 1984?		HL		1			EB		1	
62	"Heister, G., Schroeder-Heister, P., & Ehrenstein, W. H. (1990). Spatial coding and
 spatio-anatomical mapping: Evidence for a hierarchical model of spatial stimulus-response compatibility. In Advances in psychology (Vol. 65, pp. 117-143). North-Holland."		1990					0	book chapter, no empirical article		HL		0			EB		0	Book chapter without empirical data
63	"Chartrand, T. L., & Dalton, A. N. (2009). Mimicry: Its ubiquity, importance, and 
 functionality. Oxford handbook of human action, 458-483."		2009					0	book  chapter about mimicry		JW		0	Book chapter		EB		0	Book chapter without empirical data
64	"Fiori, N., Ragot, R., & Renault, B. (1992). Effect of target position on the 
 sequential organization of processing stages. Biological psychology, 33(2-3), 157-171."		1992					0	"visual Simon task, but manipulation of response
hand instead of response side"		HL		0			EB		0	No Simon task
65	"Schöner, G., Kopecz, K., & Erlhagen, W. (1997). The dynamic neural field theory 
 of motor programming: Arm and eye movements. In Advances in Psychology (Vol. 119, pp. 271-310). North-Holland."		1997					0	no empirical article, no RTs		HL		0	review paper		EB		0	Review
66	"Masaki, H., Takasawa, N., & Yamazaki, K. (2000). An electrophysiological study of
 the locus of the interference effect in a stimulus-response compatibility paradigm. Psychophysiology, 37(4), 464-472."		2000					1	visual Simon task with arrows		HL		1			EB		1	
